Unnamed: 0,year,quarter,question_number,answer_number,question,answer,speaker_name,role,role_normalised,source_pdf,label
0,2023,Q1,1.0,1.0,"So, Jamie, I was actually hoping to get your perspective on how you see the recent developments with SVB impacting the regulatory landscape for the big banks. In your letter you spent a fair amount of time highlighting the consequences of overly stringent capital requirements, the risk of steering more activities to the less regulated nonbanks. But what are some of the changes that you're scenario planning for – whether it's higher capital, increase in FDIC assessment fees? And along those same lines, how you're thinking about the buyback given continued strong capital build, but a lot of macro uncertainty at the moment. Got it. And just in terms of appetite for the buyback, just given some of the... ...elevated macro uncertainties. That's great. I'll hop back into the queue. Thanks so much for taking my questions.","Well, I think you were already kind of complete with answering your own question there. Look, we're hoping that everyone just takes a deep breath and looks at what happened and the breadth and depth of regulations already in place. Obviously, when something happens like this, you should adjust, think about it. So I think down the road there may be some limitations on held-to-maturity, maybe more TLAC for certain type-size banks, and more scrutiny on interest rate exposure, and stuff like that. But it doesn't have to be a revamp of the whole system, just recalibrating things the right way. And I think it should be done knowing what you want the outcome to be. The outcome you should want is very strong community and regional banks. And certain actions are taken which are drastic – it could actually make them weaker. So, that's all it is. We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
2,2023,Q1,1.0,3.0,"So, Jamie, I was actually hoping to get your perspective on how you see the recent developments with SVB impacting the regulatory landscape for the big banks. In your letter you spent a fair amount of time highlighting the consequences of overly stringent capital requirements, the risk of steering more activities to the less regulated nonbanks. But what are some of the changes that you're scenario planning for – whether it's higher capital, increase in FDIC assessment fees? And along those same lines, how you're thinking about the buyback given continued strong capital build, but a lot of macro uncertainty at the moment. Got it. And just in terms of appetite for the buyback, just given some of the... ...elevated macro uncertainties. That's great. I'll hop back into the queue. Thanks so much for taking my questions.","Well, we've told you that we're kind of penciling in $12 billion for this year. Obviously, capital is more than that, but – and we did a little bit of buyback this quarter. We're going to wait and see. We don't mind keeping our powder dry, and you've seen us do that with investment portfolios, and we're also going to do that with capital.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
4,2023,Q1,2.0,1.0,"Hey, thanks. Good morning. Hey, Jeremy, I was just wondering if you can just give us a little bit more detail on those lower funding expectation points that you made, just in terms of is it because of what you can offer the client that might allow you to kind of keep that beta lower? And maybe you can just kind of wrap it into what your overall beta expectations are in that revised update? Thank you.","Yeah, sure. So let me just summarize the drivers of the change in the outlook. So the primary driver really is lower deposit rate paid expectations across both consumer and wholesale, which, as you mentioned, is driven by a couple factors. So, the change in the rate environment, with cuts coming sooner in the outlook, all else equal, does take some pressure off the reprice. And as you said, we're getting a lot of positive feedback from the field on our product offerings. The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. So that's kind of working well. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping. And I'll just remind you that at a conference in February, I suggested that we were already starting to feel like some of the uncertainties we mentioned when giving the guidance had started all moving in the same direction, and that was one of the things that contributed to the upward revision, like all of the uncertainty kind of went the same way. But as Jamie's pointed out – those uncertainties are all still there, we highlight them on the page, and as we look forward to this year and to next year and the medium-term we remain very focused on those.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
5,2023,Q1,3.0,1.0,"Yeah, and as a follow-up on the point about rate expectations coming now in, and potentially getting cut sooner – how do you take a look at what that might mean just for the broader economy? Do you think it's more just because inflation's coming down? Do you think it's because the Fed's just got to react to an even tougher economy and still some of those storm clouds that might be out there? Just kind of your general thinking about the other read-throughs of what lower rates quicker will mean for the broader economy. Okay. Thank you very much. Operator: Thank you. The next question comes from the line of John McDonald with Autonomous Research. You may proceed.","Well first of all, I don't quite believe it. So the Fed has the rate curve, the forward short-term rate curve, almost at 1% higher than what the market has. So one of the things you got to always prepare for is – it could be anything, we don't know what the rate curve is going to be in a year. And so we're quite cautious in that and quite thoughtful about that. Obviously, the short-term read is higher recessionary risk and then inflation coming down. So I think inflation will come down a little bit, but it could easily be stickier than people think and therefore, the rate curve will have to go up a little bit.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
6,2023,Q1,4.0,1.0,"Hi, thanks. Jeremy, wanted to follow up again on the drivers of the NII revision and the lower rates paid assumption. You mentioned the Fed cuts coming sooner and positive feedback on the customer offers. What about the March events? Do the bank failures there that happened in March – in your view, do they slow the reprice intensity because folks are moving other than price reasons? Or they intensify it industry-wide because smaller banks have to reprice to keep their deposits? How do those events influence your view of the reprice?","Yeah. John, it's a really good question, and we've obviously thought about that. But as we sit here today, I guess I have two answers to that. One is it's not meaningfully affecting our current outlook – we don't see it as a major driver. And I think in terms of the larger dynamics that you lay out, it's just a little too early to tell. But from where we are right now, the base case is no real impact.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
7,2023,Q1,5.0,1.0,"Okay. And then I wanted to ask Jamie – there's a narrative out there that the industry could see a credit crunch – banks are going to stop lending, even Jay Powell mentioned that as a risk. Do you see that in terms of anything you look at in terms of lending and is that a reaction that makes sense – that banks might be retrenching a lot here? Do you worry about that for the economy in terms of credit crunch? Thanks.","Yeah. I wouldn't use the word credit crunch if I were you. Obviously, there's going to be a little bit of tightening, and most of that will be around certain real estate things. And you've heard it from real estate investors already, so I just look at that as a kind of thumb on the scale. It just makes the Fed's conditions be a little bit tighter, it increases the odds of a recession – that's what that is. It's not like a credit crunch. Operator: Thank you. Our next question comes from Erika Najarian with UBS. You may proceed.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
8,2023,Q1,6.0,1.0,Hi. Good morning. My first question is you mentioned that your reserve build was driven mostly by worse economic assumptions. I'm wondering if you could update us on what unemployment rate you're assuming in your reserve.,"Yeah. So, Erika, as you know, we take – not going to go into a lot of detail here – but we take the outlook from our economists, we run a bunch of different scenarios and we probability-weight those. The central case outlook from our research team hasn't actually changed, but we felt that in line with what Jamie just said in terms of a little bit of tightening as a result of the events of March, it made sense to add a little bit of weight to our relative adverse case. So we did that, which changed the weighted-average expectation. And I think that the weighted-average peak unemployment that we're using now is something like 5.8%.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Evasive
10,2023,Q1,7.0,2.0,"So, as you think about all of what you've just told us – so $81 billion of NII this year, and who knows when medium-term is going to happen of mid-70s, the clear strength of the franchise producing 23% ROTCE in a quarter where your CET1 is 13.8% and a reserve that already reflects 5.8% unemployment. As we think about recession and what JPMorgan can earn in a recession, do you think you can hit 17% ROTCE even in 2024 – assuming we do have a recession in 2024 as everybody is expecting – given all these revenue dynamics and how prepared you are on the reserve? Thank you. Operator: The next question comes from the line of Jim Mitchell from Seaport Global Securities. You may proceed.","Okay. Let's take a crack. Let's see what the boss thinks. I think number one, we believe, have said, and continue to believe that this is fundamentally a 17% through the cycle ROTCE franchise, so number one. Number two, as Jamie always says, we run this company for all different scenarios and to have it be as resilient as possible across all different scenarios. On the particular question of ROTCE expectations in 2024 contingent on the particular economic outlook, obviously it depends a lot on the nature of the recession. I think we feel really good about how the company is positioned for a recession, but we're a bank. A very serious recession is of course going to be a headwind for returns, but we think even in a fairly severe recession, we'll deliver very good returns – whether that's 17% or not is too much detail for now.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
11,2023,Q1,8.0,1.0,"Hey. Good morning. Maybe just a little bit on the deposit, your thought process there. You've seen some inflows. Why do you think that you lose them going forward? And just maybe talk a little bit about the dynamic in pricing – do you feel like given the inflows, do you see some pricing power for the larger banks?","Yeah. A couple things there. So, first of all, we don't know. Right? The deposits just came in. We don't know. We're guessing. Number two, the deposits just came in. So, by definition, these are somewhat flighty deposits because they just came into us, so it's prudent and appropriate for us to assume that they won't be particularly stable. Number three, there's a natural amount of internal migration of deposits to money funds so you have to overlay that and that's embedded in our assumptions. And number four, it's a competitive market, and it's entirely possible that people temporarily come to us and then over time decide to go elsewhere. So, for all of those reasons, we're just being realistic about the stickiness of it.",Jeremy Barnum,Chief Financial Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
12,2023,Q1,8.0,2.0,"Hey. Good morning. Maybe just a little bit on the deposit, your thought process there. You've seen some inflows. Why do you think that you lose them going forward? And just maybe talk a little bit about the dynamic in pricing – do you feel like given the inflows, do you see some pricing power for the larger banks?","If I add, I would say, categorically, there's no pricing power that the bigger banks have because if you look at the pricing – and we look at pricing sheets all the time – every bank is in a slightly different position and every bank is competing in three-month, six-month, nine-month savings rates. And then you have the online banks, you got treasury bills, you got money market funds. There's no pricing power for the bank, but obviously we all have different franchises and we're all in a slightly different position.",Jamie Dimon,Chairman & Chief Executive Officer,banker,data/raw/jpm/.ipynb_checkpoints/jpm-1q23-earnings-call-transcript-checkpoint.pdf,Direct
